Species,ortho_group,experiment,Protein.IDs,plot_label,specific.Gene.names,p.value,log2.foldchange,enriched,additional_protein_name,previous annotation,repair,unique
S. cerevisiae,OG6_100453,8oxoG,YOR386W,hsap_CRY1,PHR1,0.006464613,2.707463282,TRUE,PHR1,repair,repair,not unique
S. cerevisiae,OG6_104778,8oxoG,YEL055C,hsap_MYBBP1A,POL5,0.035393011,2.306105829,TRUE,POL5,no,no,not unique
S. cerevisiae,OG6_500670,8oxoG,YCL028W,scer_RNQ1,RNQ1,0.000816959,1.632105498,TRUE,RNQ1,unique,no,unique
S. cerevisiae,OG6_104339,abasic,YKL114C,scer_APN1,APN1,1.29E-05,4.861242012,TRUE,APN1,repair,repair,not unique
S. cerevisiae,OG6_127204,abasic,YIL130W,scer_ASG1,ASG1,8.95E-06,3.256077398,TRUE,ASG1,no,no,not unique
S. cerevisiae,OG6_105184,abasic,YDL156W,hsap_WDR76,CMR1,2.05E-05,3.554018406,TRUE,CMR1,no,no,not unique
S. cerevisiae,OG6_103743,abasic,YGL150C,hsap_INO80,INO80,0.02628261,1.1861026,TRUE,INO80,repair,repair,not unique
S. cerevisiae,OG6_102605,abasic,YBR142W,hsap_DDX24,MAK5,0.017503316,1.013336805,TRUE,MAK5,no,no,not unique
S. cerevisiae,OG6_100101,abasic,YAL029C,hsap_MYO15A,MYO4,0.033717044,1.49097834,TRUE,MYO4,no,no,not unique
S. cerevisiae,OG6_179530,abasic,YGL013C,scer_PDR3,PDR1,0.000212617,4.294858526,TRUE,PDR1,unique,no,unique
S. cerevisiae,OG6_100453,abasic,YOR386W,hsap_CRY1,PHR1,0.030382688,1.761571218,TRUE,PHR1,repair,repair,not unique
S. cerevisiae,OG6_104778,abasic,YEL055C,hsap_MYBBP1A,POL5,0.025448572,2.644537322,TRUE,POL5,no,no,not unique
S. cerevisiae,OG6_101059,abasic,YOR217W,hsap_RFC1,RFC1,0.000190317,1.562651624,TRUE,RFC1,repair,repair,not unique
S. cerevisiae,OG6_101335,abasic,YJR068W,hsap_RFC4,RFC2,1.17E-05,1.597331099,TRUE,RFC2,repair,repair,not unique
S. cerevisiae,OG6_100321,abasic,YNL290W,hsap_RFC2,RFC3,1.11E-05,1.596194558,TRUE,RFC3,repair,repair,not unique
S. cerevisiae,OG6_100321,abasic,YOL094C,hsap_RFC2,RFC4,9.35E-06,1.67350855,TRUE,RFC4,repair,repair,not unique
S. cerevisiae,OG6_102480,abasic,YBR087W,hsap_RFC3,RFC5,1.41E-06,1.643660041,TRUE,RFC5,repair,repair,not unique
S. cerevisiae,OG6_103614,abasic,YGR056W,hsap_PBRM1,RSC1,0.019038491,1.411057632,TRUE,RSC1,repair,repair,not unique
S. cerevisiae,OG6_500338,abasic,YLR033W,scer_RSC58,RSC58,6.65E-05,1.104783894,TRUE,RSC58,unique,no,unique
S. cerevisiae,OG6_100964,abasic,YCR052W,hsap_SMARCD1,RSC6,0.02541327,1.404396391,TRUE,RSC6,no,no,not unique
S. cerevisiae,OG6_101122,abasic,YOR290C,hsap_SMARCA2,SNF2,0.000117185,1.582144181,TRUE,SNF2,repair,repair,not unique
S. cerevisiae,OG6_115793,abasic,YLR182W,scer_SWI6,SWI6,0.003069037,1.01293385,TRUE,SWI6,no,no,not unique
S. cerevisiae,OG6_100284,abasic,YNL088W,hsap_TOP2B,TOP2,0.000722976,1.168141642,TRUE,TOP2,no,no,not unique
S. cerevisiae,OG6_101228,RNAbase,YPR029C,hsap_AP1G1,APL4,0.038121965,1.061513328,TRUE,APL4,no,no,not unique
S. cerevisiae,OG6_104339,RNAbase,YKL114C,scer_APN1,APN1,7.32E-06,3.770045625,TRUE,APN1,repair,repair,not unique
S. cerevisiae,OG6_127204,RNAbase,YIL130W,scer_ASG1,ASG1,0.00017831,2.110480124,TRUE,ASG1,no,no,not unique
S. cerevisiae,OG6_105184,RNAbase,YDL156W,hsap_WDR76,CMR1,2.25E-05,3.23837427,TRUE,CMR1,no,no,not unique
S. cerevisiae,OG6_125220,RNAbase,YLR256W,scer_HAP1,HAP1,0.000259419,2.860579251,TRUE,HAP1,unique,no,unique
S. cerevisiae,OG6_103743,RNAbase,YGL150C,hsap_INO80,INO80,0.01359715,1.40529076,TRUE,INO80,repair,repair,not unique
S. cerevisiae,OG6_111252,RNAbase,YDL056W,scer_MBP1,MBP1,0.008666436,1.285209943,TRUE,MBP1,no,no,not unique
S. cerevisiae,OG6_110272,RNAbase,YJR144W,scer_MGM101,MGM101,0.000830296,1.887758429,TRUE,MGM101,repair,repair,not unique
S. cerevisiae,OG6_100101,RNAbase,YAL029C,hsap_MYO15A,MYO4,1.04E-05,1.806248398,TRUE,MYO4,no,no,not unique
S. cerevisiae,OG6_500582,RNAbase,YKR064W,scer_OAF3,OAF3,0.000262118,2.402042462,TRUE,OAF3,unique,no,unique
S. cerevisiae,OG6_179530,RNAbase,YGL013C,scer_PDR3,PDR1,0.000177077,4.936406969,TRUE,PDR1,unique,no,unique
S. cerevisiae,OG6_104778,RNAbase,YEL055C,hsap_MYBBP1A,POL5,0.027224294,2.571597822,TRUE,POL5,no,no,not unique
S. cerevisiae,OG6_101059,RNAbase,YOR217W,hsap_RFC1,RFC1,0.001011853,1.205282062,TRUE,RFC1,repair,repair,not unique
S. cerevisiae,OG6_101335,RNAbase,YJR068W,hsap_RFC4,RFC2,0.002951522,1.221102229,TRUE,RFC2,repair,repair,not unique
S. cerevisiae,OG6_100321,RNAbase,YNL290W,hsap_RFC2,RFC3,0.000912003,1.242413981,TRUE,RFC3,repair,repair,not unique
S. cerevisiae,OG6_100321,RNAbase,YOL094C,hsap_RFC2,RFC4,0.001516986,1.283211873,TRUE,RFC4,repair,repair,not unique
S. cerevisiae,OG6_102480,RNAbase,YBR087W,hsap_RFC3,RFC5,0.00190281,1.285166389,TRUE,RFC5,repair,repair,not unique
S. cerevisiae,OG6_103614,RNAbase,YGR056W,hsap_PBRM1,RSC1,0.010886711,1.629731198,TRUE,RSC1,repair,repair,not unique
S. cerevisiae,OG6_181776,RNAbase,YHR056C,scer_RSC3,RSC30,0.022646064,1.060568255,TRUE,RSC30,repair,repair,unique
S. cerevisiae,OG6_500338,RNAbase,YLR033W,scer_RSC58,RSC58,0.003146059,1.168167975,TRUE,RSC58,unique,no,unique
S. cerevisiae,OG6_100964,RNAbase,YCR052W,hsap_SMARCD1,RSC6,0.016989028,1.55387893,TRUE,RSC6,no,no,not unique
S. cerevisiae,OG6_112445,RNAbase,YML127W,scer_RSC9,RSC9,0.017677127,1.018407481,TRUE,RSC9,no,no,not unique
S. cerevisiae,OG6_103095,RNAbase,YLR321C,hsap_SMARCB1,SFH1,0.033511817,1.207685033,TRUE,SFH1,no,no,not unique
S. cerevisiae,OG6_101122,RNAbase,YOR290C,hsap_SMARCA2,SNF2,1.16E-05,1.822012764,TRUE,SNF2,repair,repair,not unique
S. cerevisiae,OG6_101122,RNAbase,YIL126W,hsap_SMARCA2,STH1,0.003049924,1.01354309,TRUE,STH1,repair,repair,not unique
S. cerevisiae,OG6_115793,RNAbase,YLR182W,scer_SWI6,SWI6,0.008117199,1.49053094,TRUE,SWI6,no,no,not unique
S. cerevisiae,OG6_100284,RNAbase,YNL088W,hsap_TOP2B,TOP2,0.002458256,1.186335292,TRUE,TOP2,no,no,not unique
S. cerevisiae,OG6_140858,RNAbase,YPL245W,YPL245W,,0.000133512,1.894460825,TRUE,YPL245W,unique,no,unique
S. pombe,OG6_102506,8oxoG,SPAC26A3.02,hsap_MUTYH,myh1,9.95E-06,6.282111936,TRUE,myh1,repair,repair,not unique
S. pombe,OG6_101364,abasic,SPBC19F5.03,hsap_SACM1L,sac11,0.031047037,1.273973594,TRUE,sac11,no,no,not unique
S. pombe,OG6_100284,abasic,SPBC1A4.03c,hsap_TOP2B,top2,0.033972348,1.948448803,TRUE,top2,no,no,not unique
S. pombe,OG6_223209,abasic,SPAC3H8.08c,SPAC3H8.08c,,0.016891818,1.641072458,TRUE,SPAC3H8.08c,unique,no,unique
S. pombe,OG6_102754,RNAbase,SPBP23A10.08,hsap_ACTL6B,alp5,0.026277464,1.037157316,TRUE,alp5,homology,repair,not unique
S. pombe,OG6_101458,RNAbase,SPBC1D7.04,hsap_ALYREF,mlo3,0.000302572,1.39425599,TRUE,mlo3,no,no,not unique
S. pombe,OG6_103046,RNAbase,SPAC16E8.06c,hsap_RBM34,nop12,0.001064279,1.006952406,TRUE,nop12,no,no,not unique
S. pombe,OG6_101059,RNAbase,SPBC23E6.07c,hsap_RFC1,rfc1,1.78E-05,2.62031515,TRUE,rfc1,repair,repair,not unique
S. pombe,OG6_100321,RNAbase,SPAC27E2.10c,hsap_RFC2,rfc3,1.87E-05,2.232070713,TRUE,rfc3,repair,repair,not unique
S. pombe,OG6_100321,RNAbase,SPAC1687.03c,hsap_RFC2,rfc4,5.90E-06,1.811253676,TRUE,rfc4,repair,repair,not unique
S. pombe,OG6_102480,RNAbase,SPBC83.14c,hsap_RFC3,rfc5,5.19E-05,2.137388118,TRUE,rfc5,repair,repair,not unique
S. pombe,OG6_101335,RNAbase,SPAC23D3.02,hsap_RFC4,rfc2,7.49E-06,2.545160319,TRUE,rfc2,repair,repair,not unique
S. pombe,OG6_126549,RNAbase,SPBC28F2.11,scer_ABF2,hmo1,7.60E-05,1.949829775,TRUE,hmo1,no,no,not unique
S. pombe,OG6_111506,RNAbase,SPBC4F6.06,scer_KIN1,kin1,0.000444302,1.157181227,TRUE,kin1,no,no,not unique
S. pombe,OG6_223209,RNAbase,SPAC3H8.08c,SPAC3H8.08c,,0.005013683,2.224668915,TRUE,SPAC3H8.08c,unique,no,unique
S. pombe,OG6_149622,RNAbase,SPCC126.11c,SPCC126.11c,,0.006200568,1.047418673,TRUE,SPCC126.11c,unique,no,unique
S. pombe,OG6_111103,RNAbase,SPBC2A9.07c,spom_hpz2,hpz1,0.000263213,1.823616653,TRUE,hpz1,no,no,not unique
S. pombe,OG6_137737,RNAbase,SPAPB1A11.04c,spom_mca1,mca1,0.000108677,2.593273821,TRUE,mca1,unique,no,unique
S. pombe,OG6_473784,RNAbase,SPAC821.07c,spom_moc3,moc3,0.022922061,1.309451137,TRUE,moc3,unique,no,unique
T. brucei,OG6_101139,8oxoG,Tb927.8.5510,hsap_APEX1,,0.000347371,1.373541459,TRUE,Tb927.8.5510,repair,repair,not unique
T. brucei,OG6_102814,8oxoG,Tb927.7.1290,hsap_EMC7,,0.047087059,1.381079461,TRUE,Tb927.7.1290,no,no,not unique
T. brucei,OG6_101883,8oxoG,Tb927.9.3760,hsap_RAE1,GLE2,3.61E-05,1.499998156,TRUE,GLE2,no,no,not unique
T. brucei,OG6_147307,8oxoG,Tb927.11.14995,Tb927.11.14995,,0.04247252,2.801812211,TRUE,Tb927.11.14995,unique,no,unique
T. brucei,OG6_157993,8oxoG,Tb927.8.4240,Tb927.8.4240,,0.000381889,1.619462638,TRUE,Tb927.8.4240,unique,no,unique
T. brucei,OG6_101139,abasic,Tb927.8.5510,hsap_APEX1,,8.06E-05,1.498212182,TRUE,Tb927.8.5510,repair,repair,not unique
T. brucei,OG6_102290,abasic,Tb927.3.5150,hsap_ERI1,,0.000132538,1.755178746,TRUE,Tb927.3.5150,no,no,not unique
T. brucei,OG6_102391,abasic,Tb927.10.3110,hsap_PRIM2,pril,0.000342291,2.245447363,TRUE,PPL2,no,no,not unique
T. brucei,OG6_101883,abasic,Tb927.9.3760,hsap_RAE1,GLE2,7.95E-05,1.405182865,TRUE,GLE2,no,no,not unique
T. brucei,OG6_103046,abasic,Tb927.9.13280,hsap_RBM34,DRBD9,0.000506721,1.834488831,TRUE,DRBD9,no,no,not unique
T. brucei,OG6_100284,abasic,Tb927.9.5590,hsap_TOP2B,TOP2,0.004306894,1.649089168,TRUE,TOP2,no,no,not unique
T. brucei,OG6_111103,abasic,Tb927.10.6550,spom_hpz2,,0.000235563,1.986286276,TRUE,Tb927.10.6550,no,no,not unique
T. brucei,OG6_101139,RNAbase,Tb927.8.5510,hsap_APEX1,,0.000159474,1.384691987,TRUE,Tb927.8.5510,repair,repair,not unique
T. brucei,OG6_102580,RNAbase,Tb927.6.1580,hsap_PNKP,,0.001188567,3.059251849,TRUE,Tb927.6.1580,repair,repair,not unique
T. brucei,OG6_103046,RNAbase,Tb927.9.13280,hsap_RBM34,DRBD9,0.003278082,1.08016162,TRUE,DRBD9,no,no,not unique
T. brucei,OG6_103370,RNAbase,Tb927.6.3960,hsap_SLC35E3,NST4,0.028338887,1.021795194,TRUE,NST4,no,no,not unique
T. brucei,OG6_389557,RNAbase,Tb927.2.6100,Tb927.2.6100,,0.024622722,2.037427968,TRUE,Tb927.2.6100,unique,no,unique
T. brucei,OG6_136890,RNAbase,Tb927.3.1860,tbrt_SET30,SET30,0.000210616,1.064272017,TRUE,SET30,unique,no,unique
T. thermophila,OG6_100453,8oxoG,Q23DL8,hsap_CRY1,TTHERM_00046730,0.001662616,6.195581325,TRUE,PHR2,homology,repair,not unique
T. thermophila,OG6_101248,8oxoG,Q22PK7,hsap_FAAH,TTHERM_00361370,0.0488121,1.397483491,TRUE,TTHERM_00361370,no,no,not unique
T. thermophila,OG6_102381,8oxoG,Q23PW8,hsap_PMPCA,TTHERM_00463150,7.97E-05,1.764578688,TRUE,TTHERM_00463150,no,no,not unique
T. thermophila,OG6_103102,8oxoG,Q24E55,hsap_RAB32,TTHERM_00852850,0.049415628,1.227330743,TRUE,TTHERM_00852850,no,no,not unique
T. thermophila,OG6_100672,8oxoG,W7XHC8,hsap_SEC61A1,TTHERM_000530789,3.62E-05,1.203706173,TRUE,TTHERM_000530789,no,no,not unique
T. thermophila,OG6_100863,8oxoG,I7MG87,hsap_SLC29A1,TTHERM_00147470,1.69E-05,2.924614332,TRUE,TTHERM_00147470,no,no,not unique
T. thermophila,OG6_174274,8oxoG,I7LUA5,tetr_TTHERM_00145210,TTHERM_00145210,0.000137851,1.968457732,TRUE,TTHERM_00145210,unique,no,unique
T. thermophila,OG6_180238,8oxoG,I7M3V9,tetr_TTHERM_00614680,TTHERM_00614680,5.63E-05,2.22841305,TRUE,TTHERM_00614680,unique,no,unique
T. thermophila,OG6_108568,abasic,I7MGV0,cele_CELE_Y75B7B.2,TTHERM_00502600,0.025873134,1.063393316,TRUE,PARP6,no,no,not unique
T. thermophila,OG6_101139,abasic,Q23VX1,hsap_APEX1,TTHERM_00794600,0.000581087,3.613992574,TRUE,APN2,homology,repair,not unique
T. thermophila,OG6_100453,abasic,Q23DL8,hsap_CRY1,TTHERM_00046730,0.0002586,7.175629585,TRUE,PHR2,homology,repair,not unique
T. thermophila,OG6_133002,abasic,I7LXZ8,tetr_TTHERM_00681750,TTHERM_00681750,0.000562596,3.186344861,TRUE,PCP1,unique,no,unique
T. thermophila,OG6_165648,abasic,I7MCG2,tetr_TTHERM_00823980,TTHERM_00823980,0.00138176,3.136518134,TRUE,PARP4,unique,no,unique
T. thermophila,OG6_172025,abasic,Q23M88,tetr_TTHERM_01087780,TTHERM_01087780,0.019242066,1.336499418,TRUE,PCP2,unique,no,unique
T. thermophila,OG6_108568,RNAbase,I7MGV0,cele_CELE_Y75B7B.2,TTHERM_00502600,0.001462244,1.985685856,TRUE,PARP6,no,no,not unique
T. thermophila,OG6_223986,RNAbase,Q22RR3,tetr_TTHERM_00013250,TTHERM_00013250,0.003819671,1.917789096,TRUE,TTHERM_00013250,unique,no,unique
T. thermophila,OG6_133002,RNAbase,I7LXZ8,tetr_TTHERM_00681750,TTHERM_00681750,0.00548955,1.215691426,TRUE,PCP1,unique,no,unique
Z. mays,OG6_104135,8oxoG,B4FTT9;A0A1D6KCC5;A0A804LPT5;A0A804LPT7;A0A804LPT9;A0A1D6KCC6;B4F9R2,atha_PHR1,100191679;ZEAMMB73_Zm00001d030381,0.015366125,1.081249506,TRUE,B4FTT9,homology,repair,not unique
Z. mays,OG6_107179,8oxoG,P06678;A0A804LR50;A0A804LR49;Q946V7,P06678;...,542652,0.04133087,1.937656343,TRUE,P06678,unique,no,unique
Z. mays,OG6_101059,abasic,A0A1D6F6W7;A0A1D6F6S7;A0A1D6F6V5;A0A1D6F6W4;A0A1D6F6W2;A0A1D6F6T9;A0A1D6F6T1;A0A1D6F6W9;A0A1D6F6V7;A0A1D6F6W8;A0A1D6F6V4;A0A1D6F6V3,hsap_RFC1,ZEAMMB73_Zm00001d007500;103648088,1.78E-06,1.027557965,TRUE,A0A1D6F6W7,homology,repair,not unique
Z. mays,OG6_103324,abasic,A0A1D6JZF1;A0A1D6JZF0;A0A1D6JZF2;A0A1D6JZE9,hsap_APTX,103634500;ZEAMMB73_Zm00001d028757,4.90E-07,4.95966075,TRUE,A0A1D6JZF1,homology,repair,not unique
Z. mays,OG6_103669,abasic,A0A1D6K922;A0A1D6K936;A0A1D6K920;A0A1D6K945;A0A1D6K950;A0A1D6K940;A0A1D6K951;A0A1D6K948;A0A1D6K930;A0A1D6K944;A0A1D6K955;A0A1D6K954;A0A1D6K937;A0A1D6K921;A0A1D6K919;A0A1D6K928;A0A1D6K958;A0A1D6K953,hsap_DNAJC13,ZEAMMB73_Zm00001d030026,1.77E-05,2.991008866,TRUE,A0A1D6K922,no,no,not unique
Z. mays,OG6_160494,abasic,A0A1D6LV91;K7V0G2,A0A1D6LV91;É,ZEAMMB73_Zm00001d037158;GBP10,0.001335904,1.090393828,TRUE,A0A1D6LV91,unique,no,unique
Z. mays,OG6_160494,abasic,A0A1D6NSE6,A0A1D6NSE6,ZEAMMB73_Zm00001d044953,3.10E-05,1.198208841,TRUE,A0A1D6NSE6,unique,no,unique
Z. mays,OG6_103669,abasic,A0A1D6P5Y9;A0A804R2K9;A0A1D6P5Z2;A0A1D6P5Z7;A0A1D6P5W9;A0A1D6P5X2;A0A1D6P5X1;A0A1D6P5X0;A0A1D6P5X3;A0A1D6P601;A0A1D6P5Z1;A0A1D6P5X4;A0A1D6P608;A0A1D6P605;A0A1D6P5Z4;A0A1D6P611;A0A1D6P600;A0A1D6P609;A0A1D6P5W8;A0A1D6P5Y3;A0A1D6P5Y1;A0A1D6P5Z3;A0A1D6P606,hsap_DNAJC13,ZEAMMB73_Zm00001d047015,1.10E-05,6.422857247,TRUE,A0A1D6P5Y9,no,no,not unique
Z. mays,A0A804P6S3;A0A1D6GES2;A0A1D6GES4;A0A1D6GET1,abasic,A0A804P6S3;A0A1D6GES2;A0A1D6GES4;A0A1D6GET1,A0A804P6S3;...,NA,0.000732512,1.425861752,TRUE,A0A804P6S3,no,no,not unique
Z. mays,OG6_178255,abasic,B4FDA0;A0A1D6MK18,zmay_100192956,100192956,0.015551813,1.06782207,TRUE,B4FDA0,unique,no,unique
Z. mays,OG6_102480,abasic,B4FER3;A0A1D6L799,hsap_RFC3,RFC5_0;ZEAMMB73_Zm00001d034399,7.78E-05,1.079557259,TRUE,B4FER3,homology,repair,not unique
Z. mays,OG6_100321,abasic,B4FJC2,hsap_RFC2,100216703,1.44E-05,1.179363222,TRUE,B4FJC2,repair,repair,not unique
Z. mays,OG6_101335,abasic,B4FQT5;A0A804RCQ1,hsap_RFC4,ZEAMMB73_Zm00001d023578,0.000159973,1.176513672,TRUE,B4FQT5,repair,repair,not unique
Z. mays,OG6_227255,abasic,B4FRR3,zmay_100272929,100272929,0.005700866,1.136997109,TRUE,B4FRR3,unique,no,unique
Z. mays,OG6_179053,abasic,B4FWP8,zmay_100273632,100273632,9.42E-05,1.085716726,TRUE,B4FWP8,unique,no,unique
Z. mays,OG6_154701,abasic,B4FX14;B4FAK5,zmay_100191897,GBP12;100191897,4.26E-08,4.409749117,TRUE,B4FX14,unique,no,unique
Z. mays,OG6_154701,abasic,B6SNB5,zmay_100191897,100275086,0.000132584,3.051695513,TRUE,B6SNB5,unique,no,unique
Z. mays,OG6_154701,abasic,B6U4F1,zmay_100191897,100278142,0.003199819,1.873699231,TRUE,B6U4F1,no,no,not unique
Z. mays,OG6_214562,abasic,K7UTP1,zmay_GBP20,GBP20,0.000242241,1.615076225,TRUE,K7UTP1,unique,no,unique
Z. mays,OG6_101139,abasic,K7VBU4;A0A1D6G9V7;A0A1D6G9V6;A0A1D6G9V5;A0A1D6G9V8,hsap_APEX1,ZEAMMB73_Zm00001d012571,1.26E-05,4.24384695,TRUE,K7VBU4,homology,repair,not unique
Z. mays,OG6_101251,RNAbase,A0A1D6F4B6;A0A1D6F4B0;A0A1D6F4C1;A0A804MU12;A0A1D6F4C2;A0A1D6F4C4;A0A1D6F4B7;A0A1D6F4C5;A0A1D6F4A8;A0A1D6F4B5;A0A1D6F4B2,hsap_ACAD10,100502333;ZEAMMB73_Zm00001d007158,0.000967867,1.050005943,TRUE,A0A1D6F4B6,no,no,not unique
Z. mays,OG6_508275,RNAbase,A0A1D6GRJ8;A0A1D6GRJ9;A0A1D6GRK0,A0A1D6GRJ8;...,ZEAMMB73_Zm00001d014280,1.82E-06,3.22941231,TRUE,A0A1D6GRJ8,unique,no,unique
Z. mays,OG6_105727,RNAbase,A0A1D6HK01;A0A1D6HK00;A0A1D6HJZ5,atha_DEGP2,100381831;ZEAMMB73_Zm00001d018005,8.59E-06,3.47319632,TRUE,A0A1D6HK01,no,no,not unique
Z. mays,OG6_121374,RNAbase,A0A1D6HW59;A0A804Q7W1,atha_SUVH3,ZEAMMB73_Zm00001d019195,0.000431642,1.110147853,TRUE,A0A1D6HW59,no,no,not unique
Z. mays,OG6_160494,RNAbase,A0A1D6LV91;K7V0G2,A0A1D6LV91;...,ZEAMMB73_Zm00001d037158;GBP10,4.16E-06,2.927002172,TRUE,A0A1D6LV91,unique,no,unique
Z. mays,OG6_105727,RNAbase,A0A1D6LVY7;A0A1D6LVY1;A0A1D6LVY0;A0A1D6LVX9;A0A804PZC6;A0A1D6LVZ0;A0A1D6LVX6;A0A1D6LVY2;A0A1D6LVX7,atha_DEGP2,100217136;ZEAMMB73_Zm00001d037247,3.43E-05,3.121591436,TRUE,A0A1D6LVY7,no,no,not unique
Z. mays,OG6_120177,RNAbase,A0A1D6MYU1,zmay_103652225,103652225,0.000337852,2.512202345,TRUE,A0A1D6MYU1,unique,no,unique
Z. mays,OG6_510713,RNAbase,A0A1D6N2N7;A0A1D6N2N9;A0A804N8E9,A0A1D6N2N7;...,103650830;ZEAMMB73_Zm00001d042302,0.000113072,1.196873577,TRUE,A0A1D6N2N7,unique,no,unique
Z. mays,OG6_160494,RNAbase,A0A1D6NSE6,A0A1D6NSE6,ZEAMMB73_Zm00001d044953,1.15E-06,2.779795827,TRUE,A0A1D6NSE6,no,no,not unique
Z. mays,OG6_105727,RNAbase,A0A1D6QEP6;A0A1D6QEP7;A0A1D6QEP8;A0A1D6QEP9,atha_DEGP2,ZEAMMB73_Zm00001d052271,8.68E-07,3.266280884,TRUE,A0A1D6QEP6,no,no,not unique
Z. mays,OG6_226326,RNAbase,A0A804MH07;A0A1D6EC40,zmay_103646543,103646543,0.000374053,1.535320203,TRUE,A0A804MH07,unique,no,unique
Z. mays,OG6_212208,RNAbase,A0A804MT25;A0A1D6F1T8;A0A1D6F1U0;A0A804MT28;A0A1D6F1T7,A0A804MT25;...,ZEAMMB73_Zm00001d006884,0.000792086,1.013417648,TRUE,A0A804MT25,unique,no,unique
Z. mays,OG6_145208,RNAbase,A0A804NRM4;A0A804NRM3;A0A1D6Q2A0;A0A804NRM5,atha_ASR3,ZEAMMB73_Zm00001d050583,0.002491014,1.174358032,TRUE,A0A804NRM4,no,no,not unique
Z. mays,OG6_507461,RNAbase,A0A804R2N8;A0A1D6P6H4,A0A804R2N8;...,ZEAMMB73_Zm00001d047043,0.000178814,1.774578758,TRUE,A0A804R2N8,unique,no,unique
Z. mays,OG6_178255,RNAbase,B4FDA0;A0A1D6MK18,zmay_100192956,100192956,8.77E-08,3.526285621,TRUE,B4FDA0,unique,no,unique
Z. mays,OG6_139200,RNAbase,B4FDW2,cele_F36G3.1,100193124,4.68E-07,1.238452939,TRUE,B4FDW2,no,no,not unique
Z. mays,OG6_227255,RNAbase,B4FRR3,zmay_100272929,100272929,0.000238959,2.816467306,TRUE,B4FRR3,unique,no,unique
Z. mays,OG6_154701,RNAbase,B4FX14;B4FAK5,zmay_100191897,GBP12;100191897,6.37E-06,1.656831754,TRUE,B4FX14,unique,no,unique
Z. mays,OG6_227255,RNAbase,B4G1M3,zmay_100272929,100277696,9.86E-06,2.786922283,TRUE,B4G1M3,no,no,not unique
Z. mays,OG6_133709,RNAbase,B4G1W8,scer_ZIP1,100283029,0.000420027,1.367493096,TRUE,B4G1W8,no,no,not unique
Z. mays,OG6_154701,RNAbase,B6SNB5,zmay_100191897,100275086,0.004586586,1.158864181,TRUE,B6SNB5,unique,no,unique
Z. mays,OG6_179107,RNAbase,B6UA70;A0A1D6QEM1;A0A804NXV6,B6UA70;...,100278526;ZEAMMB73_Zm00001d052259,7.25E-07,2.752304179,TRUE,B6UA70,unique,no,unique
Z. mays,OG6_171388,RNAbase,C0P7N5,zmay_100276316,100276316,1.16E-06,3.043256127,TRUE,C0P7N5,unique,no,unique
Z. mays,OG6_101142,RNAbase,C0P9C9;A0A1D6L9A3;A0A804M6A1,hsap_GTPBP8,100382617;ZEAMMB73_Zm00001d034610,0.002987693,1.430957823,TRUE,C0P9C9,no,no,not unique
Z. mays,OG6_128438,RNAbase,C4J4W6;A0A804PYE9;A0A804PWG7,cele_hmg-12,ZEAMMB73_Zm00001d037159,0.00039945,1.776411292,TRUE,C4J4W6,no,no,not unique
Z. mays,OG6_104961,RNAbase,C4J9R0,hsap_LOXHD1,ZEAMMB73_Zm00001d003457,0.001264043,2.618902974,TRUE,C4J9R0,no,no,not unique
Z. mays,OG6_171388,RNAbase,C4JC33;A0A1D6LVR6,zmay_100276316,100502502;ZEAMMB73_Zm00001d037227,6.40E-05,3.783221136,TRUE,C4JC33,unique,no,unique
Z. mays,OG6_214562,RNAbase,K7UTP1,zmay_GBP20,GBP20,2.85E-06,2.851477131,TRUE,K7UTP1,unique,no,unique
Z. mays,OG6_102305,RNAbase,Q6R9L4,hsap_MT-ND4,nad4,0.00846797,1.1085656,TRUE,Q6R9L4,no,no,not unique

